edad;genero;estado_civil;etnia;sector_procedencia;provincia_nacimiento;trabaja;ingreso_estudiante;numero_hijos;tipo_colegio;ciclo;PERDIDAS;ARM;ANRM;QUIMICA;EXPRESION ORAL Y ESCRITA;CALCULO DIFERENCIAL;FISICA I;FUNDAMENTOS INFORMATICOS;GEOMETRIA PLANA
24;0;1;3;1;11;0;0;1;2;1;5;1;0;0;0;0;0;0;1
27;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
30;0;1;1;0;11;0;0;0;1;1;3;2;3;1;1;1;1;0;1
30;1;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
28;0;1;1;0;11;0;0;0;2;1;1;3;2;0;1;1;1;1;1
23;0;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
33;0;1;1;1;11;0;0;0;3;1;1;3;2;0;1;1;1;1;1
25;1;1;1;0;11;0;0;1;1;1;0;3;3;1;1;1;1;1;1
23;1;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
24;0;1;1;0;7;0;1;0;1;1;1;3;2;1;1;1;0;1;1
24;0;1;1;0;11;0;0;0;3;1;0;3;3;1;1;1;1;1;1
22;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
24;0;1;1;0;11;1;1;0;2;1;0;3;3;1;1;1;1;1;1
35;0;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
21;0;1;1;1;11;0;0;0;1;1;5;1;0;0;0;0;0;0;1
27;0;1;1;0;11;0;0;0;1;1;5;2;1;0;1;1;0;1;0
22;0;1;1;0;7;0;0;0;2;1;0;3;3;1;1;1;1;1;1
29;1;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
22;1;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
21;0;1;1;0;11;0;0;0;2;1;2;2;2;1;1;1;0;0;1
31;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
27;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
31;0;0;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
34;0;1;3;1;19;0;0;0;2;1;0;3;3;1;1;1;1;1;1
30;0;1;1;0;19;0;0;0;1;1;0;3;3;1;1;1;1;1;1
31;0;1;3;1;11;0;0;1;1;1;0;3;3;1;1;1;1;1;1
27;0;1;3;1;11;1;1;0;2;1;0;3;3;1;1;1;1;1;1
28;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
23;0;1;1;1;19;0;0;0;1;1;0;3;3;1;1;1;1;1;1
28;1;1;1;0;11;0;0;1;1;1;0;3;3;1;1;1;1;1;1
24;0;1;1;0;9;1;1;1;3;1;5;1;0;0;0;0;0;0;1
23;0;1;1;0;11;0;0;0;2;1;0;3;3;1;1;1;1;1;1
31;1;0;1;0;11;0;0;1;1;1;0;3;3;1;1;1;1;1;1
31;1;0;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
36;0;0;1;0;11;0;0;1;2;1;0;3;3;1;1;1;1;1;1
26;0;1;1;1;7;0;0;0;1;1;0;3;3;1;1;1;1;1;1
22;0;1;1;0;11;0;0;0;1;1;0;3;3;1;1;1;1;1;1
23;0;1;1;0;1;0;0;0;1;1;0;3;3;1;1;1;1;1;1
20;0;1;1;0;19;0;0;0;2;1;0;3;3;1;1;1;1;1;1
